iter	RMSE
136	2786.960851
137	2778.407818
138	2775.409866
139	2773.404873
140	2770.527301
141	2763.239384
142	2762.936953
143	2761.245342
144	2758.218318
145	2756.488686
146	2755.304442
147	2755.140638
148	2755.077426
149	2754.134591
150	2748.335403
151	2748.278531
152	2748.230888
153	2742.47425
154	2740.282595
155	2737.085423
156	2733.511461
157	2733.471397
158	2727.456736
159	2726.077455
160	2721.287075
161	2718.025878
162	2717.198197
163	2714.907566
164	2711.522698
165	2711.172358
166	2709.393006
167	2709.101956
168	2709.015425
169	2707.736792
170	2705.933129
171	2705.856597
172	2705.627269
173	2701.731455
174	2700.69383
175	2696.995619
176	2696.977228
177	2695.349856
178	2694.964216
179	2694.945036
180	2692.689969
181	2690.479347
182	2689.747628
183	2688.526914
184	2688.047568
185	2685.038885
186	2679.580584
187	2679.239291
188	2678.501146
189	2677.956831
190	2677.939431
191	2676.372308
192	2676.053731
193	2673.720047
194	2673.705247
195	2671.31494
196	2671.302527
197	2671.292114
198	2671.283289
199	2669.247891
200	2668.076742
201	2667.925154
202	2664.474099
203	2661.540465
204	2661.321163
205	2657.333097
206	2654.761739
207	2650.789048
208	2648.862357
209	2648.745066
210	2645.665593
211	2644.64336
212	2644.536945
213	2644.487396
214	2642.874243
215	2639.892319
216	2639.713756
217	2637.370247
218	2636.447902
219	2635.397241
220	2635.068946
221	2634.566837
222	2633.488438
223	2631.178778
224	2630.652725
225	2630.400916
226	2628.352194
227	2626.230157
228	2625.703738
229	2625.160382
230	2621.691656
231	2621.46403
232	2619.597779
233	2617.863666
234	2616.10756
235	2615.892177
236	2614.338259
237	2610.672571
238	2610.570949
239	2610.144531
240	2609.69825
241	2607.873966
242	2606.578042
243	2606.509964
244	2598.265734
245	2598.178384
246	2597.994367
247	2597.920487
248	2597.879852
249	2597.875059
250	2596.864829
251	2596.32181
252	2593.894618
253	2593.891928
254	2591.429086
255	2591.168368
256	2591.107634
257	2591.057169
258	2589.963939
259	2588.679484
260	2588.63441
261	2588.613118
262	2588.200063
263	2587.976271
264	2586.817405
265	2586.492326
266	2586.380725
267	2583.674442
268	2582.094415
269	2581.757349
270	2579.779335
271	2579.762044
272	2579.743565
273	2578.0948
274	2578.080118
275	2578.063707
276	2576.786006
277	2575.727908
278	2575.702485
279	2575.682396
280	2575.455902
281	2575.447274
282	2575.420679
283	2575.413661
284	2573.423991
285	2572.221764
286	2571.299147
287	2570.507317
288	2569.834134
289	2569.343635
290	2568.452219
291	2568.450494
292	2568.449684
293	2568.448328
294	2568.44718
295	2566.006817
296	2565.984908
297	2563.940054
298	2563.93899
299	2560.901681
300	2560.815736
301	2560.63978
302	2560.606895
303	2560.580122
304	2559.705909
305	2559.688265
306	2559.416578
307	2557.759836
308	2557.754433
309	2557.734854
310	2556.7586
311	2556.736131
312	2556.618471
313	2556.601882
314	2554.68642
315	2553.98401
316	2553.969463
317	2553.963881
318	2552.521444
319	2551.486321
320	2551.474194
321	2549.729617
322	2549.625356
323	2549.229589
324	2548.099556
325	2548.090093
326	2546.716583
327	2544.462185
328	2543.911886
329	2543.850307
330	2542.826907
331	2542.818921
332	2541.429988
333	2540.356729
334	2540.349256
335	2539.526682
336	2538.857561
337	2538.849873
338	2538.823464
339	2536.05006
340	2534.759018
341	2534.754162
342	2532.112447
343	2532.061839
344	2532.000664
345	2530.793755
346	2530.751812
347	2530.747451
348	2529.261978
349	2528.674757
350	2528.671456
351	2528.653766
352	2528.652023
353	2526.375372
354	2526.372867
355	2525.883485
356	2525.869909
357	2525.847833
358	2525.84424
359	2525.443914
360	2525.441992
361	2524.222887
362	2524.13661
363	2523.497999
364	2523.125809
365	2522.532815
366	2522.530298
367	2521.526948
368	2521.485611
369	2520.982519
370	2519.995703
371	2519.947731
372	2519.898828
373	2519.896113
374	2519.323923
375	2519.31761
376	2519.27631
377	2519.27101
378	2519.261931
379	2519.221859
380	2519.215422
381	2519.195451
382	2519.162023
383	2519.1602
384	2519.15368
385	2519.144829
386	2519.115832
387	2518.853695
388	2518.840232
389	2518.829216
390	2518.82258
391	2518.808561
392	2518.04219
393	2517.297213
394	2517.287525
395	2517.282018
396	2517.27806
397	2517.266656
398	2517.230989
399	2517.211689
400	2517.206381
401	2517.197013
402	2517.192351
403	2517.187986
404	2514.375293
405	2511.378636
406	2511.366474
407	2510.345277
408	2508.995429
409	2507.414076
410	2506.84006
411	2505.427111
412	2505.423917
413	2504.795122
414	2504.787765
415	2502.554566
416	2501.305901
417	2496.79503
418	2495.425076
419	2494.899121
420	2493.984285
421	2493.415186
422	2493.387161
423	2492.281525
424	2491.817576
425	2490.486653
426	2489.731495
427	2488.953461
428	2488.272806
429	2488.236898
430	2487.124756
431	2483.801793
432	2483.778189
433	2482.911037
434	2482.882088
435	2481.562649
436	2480.931005
437	2480.197397
438	2479.209239
439	2478.607531
440	2478.108998
441	2477.695943
442	2477.353703
443	2477.225084
444	2475.833879
445	2475.022511
446	2475.009111
447	2474.724856
448	2472.936278
449	2472.229343
450	2471.967949
451	2471.320722
452	2470.582053
453	2470.536793
454	2470.532056
455	2470.471996
456	2470.468757
457	2470.25146
458	2470.21224
459	2469.449437
460	2468.95013
461	2468.328439
462	2468.323725
463	2467.252944
464	2467.076686
465	2466.929119
466	2466.433616
467	2464.722635
468	2462.883993
469	2462.841923
470	2462.579328
471	2462.178751
472	2460.714899
473	2459.380424
474	2458.584532
475	2458.484264
476	2457.426914
477	2457.020631
478	2456.799379
479	2456.424924
480	2456.352891
481	2456.351845
482	2456.350987
483	2456.349961
484	2455.488056
485	2455.320679
486	2454.220467
487	2453.873578
488	2453.844798
489	2453.687561
490	2453.687139
491	2453.686806
492	2453.66514
493	2453.222879
494	2453.089546
495	2452.535415
496	2452.535304
497	2452.080306
498	2451.968318
499	2451.884815
